04.02.2025 20:42:56 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2015_DTno_IEL_donnee.pdf
04.02.2025 20:42:57 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2015_DTpl_ELM_corrige.pdf
04.02.2025 20:42:57 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2015_DTpl_ELM_donnee.pdf
04.02.2025 20:42:57 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2015_DTpl_IEL_corrige.pdf
04.02.2025 20:42:57 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2015_DTpl_IEL_donnee.pdf
04.02.2025 20:42:58 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2015_DTsc_ELM_corrige.pdf
04.02.2025 20:42:58 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2015_DTsc_ELM_donnee.pdf
04.02.2025 20:42:58 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2015_DTsc_IEL_corrige.pdf
04.02.2025 20:42:59 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2015_DTsc_IEL_donnee.pdf
04.02.2025 20:42:59 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2015_DT_PELE_corrige.pdf
04.02.2025 20:43:00 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2015_DT_PELE_donnee.pdf
04.02.2025 20:43:00 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2015_DT_TLM_corrige.pdf
04.02.2025 20:43:01 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2015_DT_TLM_donnee.pdf
04.02.2025 20:43:01 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2015_TC_IEL_corrige.pdf
04.02.2025 20:43:02 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2015_TC_IEL_donnee.pdf
04.02.2025 20:43:02 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2015_TC_PELE_corrige.pdf
04.02.2025 20:43:02 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2015_TC_PELE_donnee.pdf
04.02.2025 20:43:02 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2015_TR_TLM_corrige.pdf
04.02.2025 20:43:03 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2015_TR_TLM_donnee.pdf
04.02.2025 20:43:04 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2015_TS_ELM_corrige.pdf
04.02.2025 20:43:04 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2015_TS_ELM_donnee.pdf
04.02.2025 20:43:04 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2015_TS_IEL_corrige.pdf
04.02.2025 20:43:05 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2015_TS_IEL_donnee.pdf
04.02.2025 20:43:05 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2015_TS_PELE_corrige.pdf
04.02.2025 20:43:06 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2015_TS_PELE_donnee.pdf
04.02.2025 20:43:06 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2015_TS_TLM_corrige.pdf
04.02.2025 20:43:07 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2015_TS_TLM_donnee.pdf
04.02.2025 20:43:07 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2015_zero_DTno_ELM_corrige.pdf
04.02.2025 20:43:07 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2015_zero_DTno_ELM_donnee.pdf
04.02.2025 20:43:08 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2015_zero_DTno_IEL_corrige.pdf
